id,codigo,descripcion,latitud,longitud
10000,DESC,DESCENTRALIZADA,-37.322771,-59.135301
10001,PSD,SANTO DOMINGO,-34.654060,-58.392420
10002,AEP,AEROPARQUE,-37.322771,-59.135301
10003,BAR,BARRACAS,-34.654140,-58.392470
10004,VUR,VILLA URQUIZA,-34.575570,-58.477580
10005,FVA,FLORENCIO VARELA,-34.769980,-58.318270
10006,LPL,LA PLATA (AVENIDA 13),-34.924960,-57.949390
10007,LAN,LANUS,-34.689420,-58.388290
10009,MGD,MONTE GRANDE,-34.817410,-58.461870
10010,PAL,PALERMO,-34.597730,-58.435200
10011,QUI,QUILMES,-34.722340,-58.271770
10012,MON,MONSERRAT,-34.613080,-58.383500
10013,TEM,TEMPERLEY,-34.774080,-58.393550
10015,FLO,FLORES,-34.634340,-58.471690
10017,MRN,MORENO,-34.647030,-58.793050
10018,MRO,MORON,-34.653807,-58.619753
10019,PIL,PILAR,-34.456910,-58.909210
10020,SJU,SAN JUSTO,-34.680480,-58.558950
10021,SMA,SAN MARTIN,-34.575800,-58.538710
10022,SMI,SAN MIGUEL,-34.538190,-58.709970
10023,VLO,VICENTE LOPEZ,-34.519230,-58.485700
10024,VIC,VICTORIA,-34.451090,-58.541350
10025,BRC,BARILOCHE,-41.135590,-71.307390
10026,CRD,COMODORO RIVADAVIA,-45.860090,-67.475750
10027,GNR,GENERAL ROCA,-39.027272,-67.572732
10028,NQ2,NEUQUEN (BARRIO ISLAS MALVINAS),-38.947300,-68.085310
10029,RGL,RIO GALLEGOS,-51.617447,-69.221170
10030,RGA,RIO GRANDE,-53.784350,-67.701590
10031,REL,TRELEW,-43.260230,-65.316650
10032,USH,USHUAIA,-54.809930,-68.319220
10033,BHI,BAHIA BLANCA,-37.322771,-59.135301
10034,AZU,AZUL,-36.780800,-59.866840
10035,MDQ,MAR DEL PLATA,-37.998440,-57.554270
10036,NDL,TANDIL,-37.322771,-59.135301
10037,MDZ,MENDOZA,-32.897734,-68.841238
10038,UAQ,SAN JUAN,-31.530800,-68.508410
10039,LUQ,SAN LUIS,-37.322771,-59.135301
10040,AFA,SAN RAFAEL,-34.612950,-68.335680
10041,VME,VILLA MERCEDES,-33.684100,-65.468050
10042,CGO,CAÑADA DE GOMEZ,-32.819580,-61.400050
10043,CAS,CASILDA,-33.046330,-61.169670
10044,ROS,ROSARIO,-32.962580,-60.640600
10045,SLO,SAN LORENZO,-32.759443,-60.733582
10046,VTO,VENADO TUERTO,-33.751420,-61.962670
10047,COC,CONCORDIA,-31.400250,-58.021740
10048,CNQ,CORRIENTES,-27.479620,-58.804338
10049,FMA,FORMOSA,-26.181250,-58.169750
10050,GUA,GUALEGUAYCHU,-33.017130,-58.536560
