;id;codigo;descripcion;latitud;longitud;dupl
0;10000;DESC;DESCENTRALIZADA;-37,322771;-59,135301;False
1;10001;PSD;SANTO DOMINGO;-34,65406;-58,392419999999994;False
2;10002;AEP;AEROPARQUE;-37,322771;-59,135301;True
3;10003;BAR;BARRACAS;-34,654140000000005;-58,392469999999996;False
4;10004;VUR;VILLA URQUIZA;-34,57557;-58,47758;False
5;10005;FVA;FLORENCIO VARELA;-34,76998;-58,31827;False
6;10006;LPL;LA PLATA (AVENIDA 13);-34,92496;-57,94939;False
7;10007;LAN;LANUS;-34,68942;-58,388290000000005;False
8;10009;MGD;MONTE GRANDE;-34,817409999999995;-58,46187;False
9;10010;PAL;PALERMO;-34,59773;-58,4352;False
10;10011;QUI;QUILMES;-34,72234;-58,27177;False
11;10012;MON;MONSERRAT;-34,61308;-58,3835;False
12;10013;TEM;TEMPERLEY;-34,77408;-58,39355;False
13;10015;FLO;FLORES;-34,63434;-58,47169;False
14;10017;MRN;MORENO;-34,64703;-58,79305;False
15;10018;MRO;MORON;-34,653807;-58,619753;False
16;10019;PIL;PILAR;-34,45691;-58,909209999999995;False
17;10020;SJU;SAN JUSTO;-34,680479999999996;-58,55895;False
18;10021;SMA;SAN MARTIN;-34,5758;-58,538709999999995;False
19;10022;SMI;SAN MIGUEL;-34,53819;-58,70997;False
20;10023;VLO;VICENTE LOPEZ;-34,51923;-58,4857;False
21;10024;VIC;VICTORIA;-34,45109;-58,54135;False
22;10025;BRC;BARILOCHE;-41,13559;-71,30739;False
23;10026;CRD;COMODORO RIVADAVIA;-45,86009;-67,47575;False
24;10027;GNR;GENERAL ROCA;-39,027271999999996;-67,57273199999999;False
25;10028;NQ2;NEUQUEN (BARRIO ISLAS MALVINAS);-38,9473;-68,08530999999999;False
26;10029;RGL;RIO GALLEGOS;-51,617447;-69,22117;False
27;10030;RGA;RIO GRANDE;-53,78435;-67,70159;False
28;10031;REL;TRELEW;-43,26023;-65,31665;False
29;10032;USH;USHUAIA;-54,80993;-68,31922;False
30;10033;BHI;BAHIA BLANCA;-37,322771;-59,135301;True
31;10034;AZU;AZUL;-36,7808;-59,86684;False
32;10035;MDQ;MAR DEL PLATA;-37,99844;-57,554269999999995;False
33;10036;NDL;TANDIL;-37,322771;-59,135301;True
34;10037;MDZ;MENDOZA;-32,897734;-68,841238;False
35;10038;UAQ;SAN JUAN;-31,5308;-68,50841;False
